TractFIPS,Year,ACCESS2,ARTHRITIS,BINGE,BPHIGH,BPMED,CANCER,CASTHMA,CHD,CHECKUP,CHOLSCREEN,COLON_SCREEN,COPD,COREM,COREW,CSMOKING,DENTAL,DIABETES,HIGHCHOL,KIDNEY,LPA,MAMMOUSE,MHLTH,OBESITY,PAPTEST,PHLTH,SLEEP,STROKE,TEETHLOST
28049001900,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.3,NA,21.8,17.7,NA,40.3,NA,NA,NA,NA,79.9,NA,NA,87.8,NA,44.5,NA,37.1
28049001900,2017,27.2,30.6,9.2,54.6,83.6,5.9,12.4,10.2,76,80.7,NA,10.6,NA,NA,28,NA,23.1,40.3,5.7,45.1,NA,18.9,47.2,NA,21.8,NA,7.8,NA
28049002000,2013,NA,NA,NA,56.5,85.6,NA,NA,NA,NA,70.7,NA,NA,NA,NA,NA,NA,NA,45.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049002000,2014,36.8,36.6,8.4,NA,NA,5.7,11.9,10.4,78.5,NA,46.1,11.6,24.2,19.1,31.3,32.2,23.8,NA,4.9,46.7,70.2,19.1,49,72.7,22.8,49.4,8.4,41.4
28049002000,2015,33.8,34.6,7.5,58.1,84.1,6,11.7,11.1,81,69,NA,11.5,NA,NA,31.4,NA,25.2,42.6,5.2,50.7,NA,19.5,48.3,NA,24.5,NA,9.2,NA
28049002000,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,21.1,16.9,NA,39,NA,NA,NA,NA,79.8,NA,NA,86.9,NA,44.8,NA,39.7
28049002000,2017,27.9,30.7,9.5,54.1,83.6,6.1,12.6,10,76.5,81,NA,10.5,NA,NA,27.6,NA,22.4,40.1,5.5,44.6,NA,18.4,44.7,NA,21.4,NA,7.7,NA
28049002100,2013,NA,NA,NA,52.3,82.9,NA,NA,NA,NA,66.9,NA,NA,NA,NA,NA,NA,NA,43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049002100,2014,35.5,32.1,9.6,NA,NA,4.7,11.8,8.2,76.9,NA,48.1,10,25.2,20.8,31.7,34.2,20.2,NA,4.2,43.1,70.6,19.1,48.4,73.7,20.4,49.3,6.6,37.4
28049002100,2015,28.5,28.8,9.1,51.1,81,5,11.1,7.8,80,68.9,NA,8.5,NA,NA,28.6,NA,19.8,38.1,4,44.8,NA,17.8,45.9,NA,19.6,NA,6.3,NA
28049002100,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.8,NA,22,17.8,NA,38.8,NA,NA,NA,NA,80,NA,NA,87.4,NA,45.4,NA,37.7
28049002100,2017,26.2,26.8,10.6,49.6,80.8,5.1,12.2,7.9,74.6,79.4,NA,8.9,NA,NA,27.6,NA,19.4,37.1,4.6,42.3,NA,18.6,45.1,NA,19.2,NA,6.1,NA
28049002200,2013,NA,NA,NA,49.9,82.5,NA,NA,NA,NA,69.6,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049002200,2014,38.7,33.4,9.1,NA,NA,5.2,12,9.9,76.4,NA,44,11.2,29,19.8,33.4,30.9,20.5,NA,4,46,69.1,20.2,48.3,72.3,22.2,49.6,7.3,40.6
28049002200,2015,35.9,31.6,8.1,54.5,81.2,5.3,11.7,10.6,79.1,65.2,NA,11.1,NA,NA,33.6,NA,22,40.8,4.6,50.7,NA,20.5,47.8,NA,23.8,NA,8,NA
28049002200,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9,NA,23.9,16.4,NA,34,NA,NA,NA,NA,79.4,NA,NA,86.9,NA,46,NA,44
28049002200,2017,31.7,29.6,9.3,53.4,81.3,5.4,13,11.2,74,76.7,NA,11.9,NA,NA,33,NA,22.1,39.5,5.6,48.9,NA,21.8,47.7,NA,23.9,NA,7.9,NA
28049002300,2013,NA,NA,NA,45.2,78.9,NA,NA,NA,NA,65.1,NA,NA,NA,NA,NA,NA,NA,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049002300,2014,36.1,28.2,10.1,NA,NA,4,12.4,6.4,75.4,NA,45.5,9.1,26,22,32.7,34,16.8,NA,3.3,41.6,70.4,20.1,47.7,74.2,19.3,49.8,5.4,35.7
28049002300,2015,32.6,26.6,8.9,48.2,77.5,4.1,12.1,6.9,78.3,63.1,NA,9.1,NA,NA,32.5,NA,18,35.9,3.8,46.7,NA,20.7,47.2,NA,20.9,NA,5.9,NA
28049002300,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8,NA,22,18,NA,36.3,NA,NA,NA,NA,80.3,NA,NA,87.6,NA,46.4,NA,39.5
28049002300,2017,29.1,24.7,10.4,46.8,77.3,4.1,13.4,7.1,72.6,75.2,NA,9.4,NA,NA,31.5,NA,17.8,34.5,4.4,44.8,NA,22,46.8,NA,20.6,NA,5.7,NA
28049002400,2013,NA,NA,NA,48.6,83.1,NA,NA,NA,NA,71.8,NA,NA,NA,NA,NA,NA,NA,41.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049002400,2014,27.5,30.6,9.9,NA,NA,5.2,10.9,7.3,79.2,NA,56.3,7.9,28.1,25,25.2,43.8,18,NA,3.8,36.6,74.4,15.8,43.9,79.9,16.4,46.4,5.7,28.9
28049002400,2015,24.2,28,8.9,49.7,81.9,5.4,10.7,7.3,81.6,72.2,NA,7.2,NA,NA,23.7,NA,18.3,36.8,3.9,40.6,NA,15.6,42.9,NA,16.9,NA,5.7,NA
28049002400,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.5,NA,25,21.1,NA,47.3,NA,NA,NA,NA,80.5,NA,NA,88,NA,43.2,NA,30
28049002400,2017,23,26.2,10.8,47.4,81.2,5.5,12.1,7.1,76,81.7,NA,7.6,NA,NA,23,NA,17.5,35.9,4.2,37.5,NA,16.3,41.1,NA,16.7,NA,5.4,NA
28049002500,2013,NA,NA,NA,46.9,81.5,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,39.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049002500,2014,30,29.5,10.4,NA,NA,4.7,11,7,77.7,NA,51.7,8.1,26.7,23.5,27.8,40.2,17.8,NA,3.5,38.2,72.9,16.8,45.8,78.2,17.2,48,5.6,31.1
28049002500,2015,27.7,27.4,9.3,49.9,80.5,4.8,10.9,7.2,80.1,69.3,NA,7.8,NA,NA,27.5,NA,18.6,36.7,3.8,43.4,NA,17.2,45,NA,18.4,NA,5.9,NA
28049002500,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1,NA,23.7,19.9,NA,44.7,NA,NA,NA,NA,80,NA,NA,87.9,NA,44.2,NA,31.9
28049002500,2017,26.3,25.9,10.7,48.4,80,4.9,12.4,7.5,74.4,79.5,NA,8.6,NA,NA,27,NA,18.4,36.1,4.4,41.1,NA,18.4,44.1,NA,18.7,NA,5.8,NA
28049002700,2013,NA,NA,NA,44.4,80.2,NA,NA,NA,NA,69.2,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049002700,2014,29.3,27.2,12,NA,NA,4.4,10.2,7,73.9,NA,48.6,8,27.5,24,28.4,41.6,16,NA,3.2,36,70.2,16.5,43.8,77.1,16.8,45.6,5,29.6
28049002700,2015,26.8,25.4,10.8,46.6,78.8,4.5,10.1,7.2,76.6,68.6,NA,7.8,NA,NA,27.9,NA,16.8,36.3,3.5,41.1,NA,17,43,NA,18,NA,5.3,NA
28049002700,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.3,NA,23.1,19.3,NA,42,NA,NA,NA,NA,77.6,NA,NA,87.1,NA,42.9,NA,34.6
28049002700,2017,27.5,24.7,11.8,46.9,78.9,4.6,11.7,8.2,70,76.4,NA,9.5,NA,NA,30.3,NA,18,37.1,4.3,42.1,NA,19.6,44.1,NA,20.1,NA,5.8,NA
28049003000,2013,NA,NA,NA,46.4,80.7,NA,NA,NA,NA,67.5,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049003000,2014,37.5,30.4,10.7,NA,NA,4.7,11.5,8.2,74.4,NA,45.7,10.1,25.9,22.1,33,33.6,18.2,NA,3.6,42.8,67.7,19.5,46.6,73.7,20.3,48.4,6.1,37.8
28049003000,2015,33,28.1,9.8,49.3,79,4.9,11,8.3,77.4,65.4,NA,9.4,NA,NA,31.5,NA,18.7,38.3,3.9,46.6,NA,19.2,45.5,NA,20.8,NA,6.3,NA
28049003000,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.2,NA,22.5,18.9,NA,37.8,NA,NA,NA,NA,77,NA,NA,86.6,NA,44.6,NA,39.2
28049003000,2017,29.9,25.9,11.6,47.1,78.4,4.9,12.2,8.2,71.7,76.6,NA,9.6,NA,NA,30.3,NA,17.9,36.6,4.4,43.3,NA,19.8,43.7,NA,20.1,NA,5.9,NA
28049003200,2013,NA,NA,NA,43.5,78,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,38.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049003200,2014,25.9,23.7,11.5,NA,NA,4.1,10.7,5.8,77.8,NA,55.5,6.1,28.4,24.7,22.1,47.6,13.9,NA,3.4,31.3,74.7,14.9,38.6,78.5,13.3,44.6,4.5,27
28049003200,2015,26.6,23.2,9.7,43.2,76.9,4.3,11.2,6.5,79.6,63.3,NA,6.7,NA,NA,24,NA,15.6,33.4,3.6,39.4,NA,16.9,40.2,NA,16.2,NA,5.3,NA
28049003200,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7,NA,22.2,17.4,NA,42.9,NA,NA,NA,NA,80.3,NA,NA,85.9,NA,43.1,NA,35.8
28049003200,2017,27,23.1,10.6,44.3,76.5,4.4,12.9,7.6,73.5,73.9,NA,8.3,NA,NA,26,NA,17.1,33.2,4.5,41.6,NA,20.4,42.4,NA,18.3,NA,5.9,NA
28049003300,2013,NA,NA,NA,43.3,77.7,NA,NA,NA,NA,65.2,NA,NA,NA,NA,NA,NA,NA,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049003300,2014,31.5,25.7,11.1,NA,NA,4,11.3,5.5,75.5,NA,49.6,7.4,30.6,24.9,29.5,39.6,13.9,NA,3.1,37.3,71.3,17.8,44.7,78.1,16.2,48.1,4.3,29.4
28049003300,2015,28.4,24.1,9.9,44.4,76.2,4.1,11.1,5.7,78.2,65.8,NA,7.3,NA,NA,28.8,NA,14.8,33.2,3.3,42.7,NA,18.3,44.2,NA,17.6,NA,4.6,NA
28049003300,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.9,NA,26.8,20.9,NA,42.7,NA,NA,NA,NA,79,NA,NA,88.1,NA,44.8,NA,31.6
28049003300,2017,25.9,21.9,12,42.1,75.3,4.2,12.2,5.6,72.2,77.3,NA,7.2,NA,NA,27.5,NA,13.9,31.7,3.5,39.5,NA,18.8,42.3,NA,16.6,NA,4.3,NA
28049003400,2013,NA,NA,NA,42.6,77,NA,NA,NA,NA,62.6,NA,NA,NA,NA,NA,NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049003400,2014,37.5,26.5,10.5,NA,NA,4,12.1,6.1,73.6,NA,43.9,8.8,31.1,22.2,33.2,34.1,14.3,NA,3.1,41.3,67.9,20.2,45.5,73.7,18.7,48.5,4.8,35.7
28049003400,2015,35.3,25.5,9,45.5,75.4,4.1,12.1,6.9,76.3,60.2,NA,9.5,NA,NA,34,NA,16.1,35.1,3.7,47.6,NA,21.5,45.6,NA,21.3,NA,5.6,NA
28049003400,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.9,NA,26.3,18.5,NA,37.4,NA,NA,NA,NA,77.9,NA,NA,87,NA,44.9,NA,38.9
28049003400,2017,29.1,22.3,11.3,41.9,74.5,4.2,13,6.4,70.6,74.1,NA,8.6,NA,NA,30.1,NA,14.3,32.3,3.8,42.1,NA,21.1,42.4,NA,18.8,NA,4.8,NA
28049003500,2013,NA,NA,NA,41.7,75.4,NA,NA,NA,NA,60.8,NA,NA,NA,NA,NA,NA,NA,36.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049003500,2014,34.2,23.9,11.6,NA,NA,3.6,11.8,5,73.8,NA,47.8,7.5,32.1,25.3,31.5,37.7,12.3,NA,3.1,37.6,69.6,19,43.7,77.1,16.4,48.1,3.9,31
28049003500,2015,30,21.8,10.6,40.7,72.6,3.8,11.4,5,76.8,62.7,NA,6.9,NA,NA,29.7,NA,12.5,31.2,2.8,42.1,NA,19,42.5,NA,16.8,NA,3.9,NA
28049003500,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.2,NA,28.2,21.1,NA,40.8,NA,NA,NA,NA,77.8,NA,NA,87.5,NA,44.7,NA,33.4
28049003500,2017,31.1,21.6,11.5,41.4,72.4,3.8,13.4,5.9,69.9,72.6,NA,8.6,NA,NA,32.4,NA,13.7,31.2,3.7,43.3,NA,22.3,43.7,NA,19.2,NA,4.5,NA
28049003600,2013,NA,NA,NA,40.3,77.2,NA,NA,NA,NA,68.5,NA,NA,NA,NA,NA,NA,NA,36.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049003600,2014,28.5,25.3,12,NA,NA,4.2,10.7,5.4,75.5,NA,52.2,7,34.3,28.2,28,43.3,12.9,NA,2.8,34.9,71.1,16.7,43.1,80.6,15.1,47.1,3.9,25.6
28049003600,2015,25.4,23.2,10.8,42.6,76,4.3,10.4,5.4,78.1,68.4,NA,6.5,NA,NA,26.8,NA,13.2,32.4,2.9,40.3,NA,16.8,42.2,NA,15.7,NA,3.9,NA
28049003600,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.2,NA,30.7,23.7,NA,46.8,NA,NA,NA,NA,77.5,NA,NA,88.5,NA,43.8,NA,27.9
28049003600,2017,24.9,22.1,12.5,41.5,75,4.4,12,5.7,71.5,77.9,NA,7.3,NA,NA,27.3,NA,13.3,32,3.4,38.5,NA,18.5,41.7,NA,16.5,NA,4.1,NA
28049003700,2013,NA,NA,NA,41.7,78.1,NA,NA,NA,NA,67.5,NA,NA,NA,NA,NA,NA,NA,38.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049003700,2014,29.7,26.4,11.9,NA,NA,4.5,10.6,6.1,74.8,NA,50.7,7.6,32.9,27,28.8,42,13.4,NA,2.9,36.2,69.7,17,42.7,78.7,15.8,46.4,4.2,27.5
28049003700,2015,27.5,24.7,10.6,43.6,76.4,4.6,10.6,6.2,77.4,67,NA,7.5,NA,NA,28.6,NA,14.1,34.4,3.1,42.2,NA,17.7,42.2,NA,17.2,NA,4.4,NA
28049003700,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.6,NA,30.5,23.6,NA,47.8,NA,NA,NA,NA,76.9,NA,NA,87.8,NA,42.5,NA,27.3
28049003700,2017,25,22.8,12.6,41.4,75.5,4.7,11.8,6.2,71.1,77.8,NA,7.6,NA,NA,26.9,NA,13.5,33.1,3.5,38.1,NA,18.3,40.6,NA,16.7,NA,4.2,NA
28049003800,2013,NA,NA,NA,39.6,76.5,NA,NA,NA,NA,65.3,NA,NA,NA,NA,NA,NA,NA,37.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049003800,2014,32.1,25.7,12.5,NA,NA,4.4,11.1,6,73.2,NA,49.7,8,33.7,26.5,30.7,40.6,12.6,NA,3,36.8,68.4,18.1,41.3,77.9,16.3,45.9,4,29.2
28049003800,2015,26.5,23.2,11.5,40.4,74.5,4.5,10.4,5.7,76.4,66.2,NA,7,NA,NA,27.4,NA,12.4,33.3,2.8,40.2,NA,17.4,40,NA,16.1,NA,3.9,NA
28049003800,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.4,NA,29.9,21.8,NA,43.2,NA,NA,NA,NA,75.6,NA,NA,87.1,NA,43,NA,31.6
28049003800,2017,26,22.3,13.1,39.6,73.8,4.6,11.9,6.1,69.5,75.8,NA,7.8,NA,NA,27.9,NA,12.8,32.6,3.4,38.6,NA,19.2,39.8,NA,17,NA,4.1,NA
28049010101,2013,NA,NA,NA,35.7,78.1,NA,NA,NA,NA,72.2,NA,NA,NA,NA,NA,NA,NA,38.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049010101,2014,15,23.6,14.4,NA,NA,6,8,5.2,75.9,NA,66.4,4.7,41.9,36.5,16.4,64.9,8.8,NA,2.5,22.2,75.3,10.5,30.7,85.9,9.4,36.4,2.7,12.3
28049010101,2015,15.4,22.7,12.4,36.2,77.1,6.1,8.5,5.3,77.5,75.4,NA,5,NA,NA,16.6,NA,9.6,32.8,2.7,29.7,NA,11.8,31.9,NA,11.3,NA,2.9,NA
28049010101,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.1,NA,40,30.5,NA,66.5,NA,NA,NA,NA,77.6,NA,NA,88.7,NA,34.4,NA,12.9
28049010101,2017,14.3,21,15,33.5,75.7,6.2,9.4,5,70.3,82.6,NA,4.9,NA,NA,15.4,NA,9.1,32.2,2.7,25.4,NA,12.2,29.8,NA,10.9,NA,2.8,NA
28049010102,2013,NA,NA,NA,39.4,78.9,NA,NA,NA,NA,69.9,NA,NA,NA,NA,NA,NA,NA,39.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049010102,2014,19.7,24.1,13.7,NA,NA,5.3,8.7,5.4,75.9,NA,63.5,5.3,38.6,34.7,18.7,58.8,10.6,NA,2.8,25.5,74.6,12,34.7,85.1,11,39.6,3.1,15.8
28049010102,2015,19.1,22.5,11.9,38.3,77.3,5.5,8.9,5.3,77.8,74,NA,5.3,NA,NA,18.1,NA,11.2,32.8,2.8,32,NA,12.8,34.9,NA,12.4,NA,3.3,NA
28049010102,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,36.9,29.4,NA,62.3,NA,NA,NA,NA,78,NA,NA,89.2,NA,36.5,NA,15.9
28049010102,2017,16.8,20.2,14.6,35,76,5.5,9.6,4.8,71.1,82.9,NA,4.8,NA,NA,15.7,NA,10,31.7,2.7,26.5,NA,12.2,31.9,NA,11.1,NA,2.9,NA
28049010201,2013,NA,NA,NA,44.2,79.9,NA,NA,NA,NA,68.1,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049010201,2014,24.6,25.9,11.5,NA,NA,4.6,10.5,5.5,78.3,NA,59.3,6.1,30.8,27.1,23.3,48.3,14,NA,3.4,32,76.3,14.7,41,82.8,13.4,45.7,4.3,24.8
28049010201,2015,24.2,24.3,10,44.1,78.3,4.8,10.8,5.7,80.2,69.7,NA,6.2,NA,NA,23.8,NA,14.9,33,3.2,39,NA,15.8,41.2,NA,15.1,NA,4.6,NA
