TractFIPS,Year,ACCESS2,ARTHRITIS,BINGE,BPHIGH,BPMED,CANCER,CASTHMA,CHD,CHECKUP,CHOLSCREEN,COLON_SCREEN,COPD,COREM,COREW,CSMOKING,DENTAL,DIABETES,HIGHCHOL,KIDNEY,LPA,MAMMOUSE,MHLTH,OBESITY,PAPTEST,PHLTH,SLEEP,STROKE,TEETHLOST
28049010201,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.2,NA,26.4,20.7,NA,47.1,NA,NA,NA,NA,80.6,NA,NA,88.1,NA,43.2,NA,30.1
28049010201,2017,24,23.8,11.3,43.8,77.9,4.8,12.5,6.2,74,79.1,NA,7.3,NA,NA,24.4,NA,15.5,33,4,37.8,NA,17.7,41.6,NA,16.4,NA,4.9,NA
28049010202,2013,NA,NA,NA,49.7,85,NA,NA,NA,NA,77.7,NA,NA,NA,NA,NA,NA,NA,42.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049010202,2014,17.2,30,10.6,NA,NA,6,9.3,6.6,82,NA,66.9,5.8,31.6,31.4,17.9,57.8,16.5,NA,3.6,28.2,79.9,11.7,39.5,86.4,12.3,42.9,4.6,17.7
28049010202,2015,16.8,27.7,9.4,49.6,84.1,6.1,9.6,6.4,83.5,79.5,NA,5.5,NA,NA,17.7,NA,16.9,36.5,3.4,34.3,NA,12.2,39.5,NA,13.5,NA,4.6,NA
28049010202,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,30.8,27.1,NA,62.5,NA,NA,NA,NA,82.5,NA,NA,89.7,NA,39.4,NA,16.7
28049010202,2017,16.6,26.1,11.2,47.1,83.4,6.2,10.8,6.3,78,86.7,NA,5.9,NA,NA,16.8,NA,16.3,36.6,3.7,30.6,NA,12.4,37.6,NA,13.4,NA,4.5,NA
28049010203,2013,NA,NA,NA,49.1,83.2,NA,NA,NA,NA,71.7,NA,NA,NA,NA,NA,NA,NA,41.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049010203,2014,26.8,31.1,9.7,NA,NA,5,11.1,7,79.2,NA,54.5,8,27.2,24.8,25.6,43.3,18.2,NA,3.8,36.8,74.9,16.4,45.4,79.8,16.8,47.7,5.6,28.3
28049010203,2015,23.7,28.8,8.6,50.3,82.2,5.2,11,7.2,81.5,72.7,NA,7.6,NA,NA,24.6,NA,18.9,36.9,4,41.5,NA,16.4,44.6,NA,17.9,NA,5.8,NA
28049010203,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.8,NA,24,20.2,NA,47.1,NA,NA,NA,NA,81.8,NA,NA,88.8,NA,43.6,NA,29.5
28049010203,2017,21.7,26.6,10.2,48.2,81.7,5.2,12.2,7,76,81.9,NA,7.8,NA,NA,23.6,NA,18.1,36.2,4.3,38.6,NA,17.1,43.1,NA,17.4,NA,5.5,NA
28049010301,2013,NA,NA,NA,52.4,85.6,NA,NA,NA,NA,75.6,NA,NA,NA,NA,NA,NA,NA,43.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049010301,2014,26.4,34.1,9.3,NA,NA,6,10.7,8.5,80.6,NA,58.8,8.6,27.6,25.2,24.8,44,20.5,NA,4.2,38,74.5,15.4,44.7,80.3,17.3,46.4,6.4,29
28049010301,2015,24.3,31.8,8.3,54.4,84.6,6.2,10.6,8.6,82.7,75,NA,8.2,NA,NA,24.1,NA,21.4,39.9,4.3,42.8,NA,15.6,44.2,NA,18.4,NA,6.7,NA
28049010301,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.6,NA,25.2,21.8,NA,48.8,NA,NA,NA,NA,80.2,NA,NA,88.1,NA,42.6,NA,28.6
28049010301,2017,21.8,29,10.1,51.4,84,6.3,11.6,8.1,77.7,84.2,NA,8.1,NA,NA,22,NA,19.7,38.8,4.6,38,NA,15.2,41.8,NA,17.1,NA,6,NA
28049010500,2013,NA,NA,NA,42,82.2,NA,NA,NA,NA,75.3,NA,NA,NA,NA,NA,NA,NA,42.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049010500,2014,18.1,28.9,12.6,NA,NA,6,9.2,6.8,76.7,NA,57.4,6.9,36.3,35.3,21.5,57.3,13.3,NA,3.1,28.7,74.6,13.3,35.7,81.7,13.3,39.8,3.9,19.9
28049010500,2015,16.7,26.9,11.4,42.9,80.9,6.2,9.3,6.5,78.6,76.7,NA,6.6,NA,NA,20.8,NA,13.5,36.9,2.9,34.6,NA,13.8,35.6,NA,14.4,NA,4,NA
28049010500,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.9,NA,34.3,29.8,NA,60.3,NA,NA,NA,NA,78.2,NA,NA,86.6,NA,37.3,NA,20.2
28049010500,2017,16.1,25.1,13.4,40.6,80.1,6.3,10.4,6.3,72.1,83.5,NA,6.8,NA,NA,19.6,NA,13,36.8,3.3,30.6,NA,14.1,34,NA,14.2,NA,3.8,NA
28049010801,2013,NA,NA,NA,46.4,80.4,NA,NA,NA,NA,65.1,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049010801,2014,39.3,30.2,9.7,NA,NA,4.4,12.5,7.5,75.1,NA,45.5,10,25.6,20.5,32.3,32.4,18.5,NA,3.8,43.7,68.7,20.4,47.7,72.5,20.7,49.1,6.3,40
28049010801,2015,37.6,28.8,8.5,50,78.7,4.6,12.4,8.3,77.7,61.9,NA,10.3,NA,NA,33.5,NA,20.1,38.3,4.3,49.8,NA,21.5,47.7,NA,23,NA,7.1,NA
28049010801,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.5,NA,20.4,16.2,NA,32.5,NA,NA,NA,NA,78.4,NA,NA,86.4,NA,46.2,NA,46.5
28049010801,2017,34,26.9,9.9,48.7,78.6,4.7,13.7,8.6,72.2,74,NA,10.9,NA,NA,33.1,NA,20,36.7,5.1,48.4,NA,23,47.2,NA,22.9,NA,6.9,NA
28049010808,2013,NA,NA,NA,42.1,80.1,NA,NA,NA,NA,74.2,NA,NA,NA,NA,NA,NA,NA,37.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049010808,2014,18.3,24.5,12.8,NA,NA,4.5,9.4,4.6,79.2,NA,62.2,5,34.1,32.5,20.5,56.7,12.6,NA,2.9,27.3,78.8,12.8,39.6,86.8,11.4,45,3.3,17.8
28049010808,2015,17.3,22.3,11.5,42.1,78.8,4.5,9.6,4.3,81,76.4,NA,4.6,NA,NA,19.7,NA,12.5,31.4,2.5,33.5,NA,13.2,39.1,NA,12.2,NA,3.2,NA
28049010808,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,33,27.6,NA,61.3,NA,NA,NA,NA,81.4,NA,NA,89.7,NA,41.3,NA,17.1
28049010808,2017,17.5,21.1,13.3,40.2,77.8,4.6,10.9,4.4,74.7,84.3,NA,4.9,NA,NA,18.8,NA,12.3,31.5,2.9,30.1,NA,13.5,37.6,NA,12.3,NA,3.3,NA
28049010809,2013,NA,NA,NA,40.3,79.6,NA,NA,NA,NA,76.3,NA,NA,NA,NA,NA,NA,NA,36.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049010809,2014,15.1,23.1,13.3,NA,NA,4.6,8.8,4.3,79.9,NA,66.3,4.2,36.8,36.4,17.4,62.4,11.4,NA,2.6,23.6,80.4,11.1,36.8,88.9,9.7,42.8,2.9,13.2
28049010809,2015,13.3,20.1,12.4,39,78.5,4.7,8.8,3.7,81.7,79.7,NA,3.5,NA,NA,15.6,NA,10.6,29.7,2.2,28.3,NA,10.9,35.3,NA,9.6,NA,2.6,NA
28049010809,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.7,NA,37.9,33.2,NA,69.4,NA,NA,NA,NA,81.8,NA,NA,90.3,NA,38.9,NA,11.4
28049010809,2017,13.7,19.2,14.5,36.9,77.1,4.8,10,3.6,75.1,86.6,NA,3.7,NA,NA,14.5,NA,10.3,30.1,2.5,24.4,NA,11,33.6,NA,9.7,NA,2.6,NA
28049010901,2013,NA,NA,NA,44.2,80.3,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,39.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049010901,2014,27.6,27.8,10.9,NA,NA,4.7,10.6,6.2,76.7,NA,53.7,7.3,31.6,26.3,25.7,44.5,15,NA,3.2,35.2,72.8,16.1,43.1,79.7,15.6,45.9,4.5,26.1
28049010901,2015,25,25.9,9.8,45.4,79,4.9,10.5,6.3,79.2,70,NA,7.1,NA,NA,25.2,NA,15.6,35.1,3.4,40.7,NA,16.5,42.5,NA,16.7,NA,4.7,NA
28049010901,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,29,23,NA,49.6,NA,NA,NA,NA,79.5,NA,NA,88.3,NA,42.4,NA,26.5
28049010901,2017,21.8,23.5,12.2,42.4,78.1,4.9,11.6,5.9,73.3,80.8,NA,6.7,NA,NA,22.8,NA,14.4,33.5,3.6,35.7,NA,16.4,40.1,NA,15.4,NA,4.2,NA
28049010902,2013,NA,NA,NA,51.3,84,NA,NA,NA,NA,71.2,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049010902,2014,32.7,33.4,9.7,NA,NA,5.6,11,8.8,77.6,NA,51.8,9.8,27.4,22.5,28.8,37.9,19.7,NA,4.2,41.8,71.1,17.3,45.8,76.4,19.3,47,6.5,33.6
28049010902,2015,31,32,8.4,53.6,82.6,5.9,11,9.6,79.9,69.7,NA,10.1,NA,NA,29.3,NA,21.4,40.8,4.6,47.5,NA,18.1,46,NA,21.5,NA,7.3,NA
28049010902,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.5,NA,23.5,18.7,NA,40.6,NA,NA,NA,NA,78.9,NA,NA,87.2,NA,43.6,NA,36.3
28049010902,2017,29.1,30,9.8,52.1,82.3,6,12.4,9.9,74.5,79.3,NA,10.9,NA,NA,29.4,NA,21.3,39.9,5.2,45.7,NA,19.5,45.3,NA,21.8,NA,7.2,NA
28049011001,2013,NA,NA,NA,43.3,79.2,NA,NA,NA,NA,67.3,NA,NA,NA,NA,NA,NA,NA,38.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049011001,2014,29.6,27.3,11,NA,NA,4.8,10.8,6.2,76.4,NA,52.7,7.5,31.4,25.3,27,42.8,14.1,NA,3.3,36.2,71.7,16.7,42.3,79.4,15.8,46.2,4.6,28.2
28049011001,2015,27.3,25.6,9.8,44.7,77.6,5,10.9,6.5,78.8,67.6,NA,7.5,NA,NA,26.7,NA,14.9,34.4,3.4,42,NA,17.4,42,NA,17.2,NA,4.9,NA
28049011001,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.2,NA,26.8,20,NA,44,NA,NA,NA,NA,78.3,NA,NA,87.7,NA,43.3,NA,32.7
28049011001,2017,26.4,24.3,11.2,43.6,77.1,5,12.3,6.9,72.5,77.5,NA,8.2,NA,NA,26.7,NA,15,33.7,4,40.3,NA,18.9,41.5,NA,17.8,NA,5,NA
28049011002,2013,NA,NA,NA,39.7,77.4,NA,NA,NA,NA,69.7,NA,NA,NA,NA,NA,NA,NA,35.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049011002,2014,23.6,23.9,12,NA,NA,4.2,10.2,4.7,77,NA,57.5,5.7,35.5,30.4,23.9,49.6,11.8,NA,2.7,30.6,74.3,14.8,41.2,83.8,12.8,45.8,3.4,20.7
28049011002,2015,21.9,22.3,10.7,41.4,76.3,4.3,10.2,4.8,79.3,71.1,NA,5.5,NA,NA,23.6,NA,12.5,30.9,2.8,37.5,NA,15.5,41.4,NA,14,NA,3.6,NA
28049011002,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.3,NA,31.5,24.2,NA,50.4,NA,NA,NA,NA,79.2,NA,NA,89.5,NA,43.2,NA,23.9
28049011002,2017,21.9,21.2,12.3,40.4,75.5,4.3,11.6,5,72.7,79.9,NA,6.1,NA,NA,23.9,NA,12.6,30.9,3.2,35.8,NA,16.9,41,NA,14.7,NA,3.7,NA
28049011101,2013,NA,NA,NA,40.5,79.1,NA,NA,NA,NA,73.5,NA,NA,NA,NA,NA,NA,NA,37.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049011101,2014,20.7,25.2,12.7,NA,NA,4.8,9.6,5.1,77.9,NA,60.4,5.7,35.5,33.2,22.5,53.8,12.2,NA,2.9,29,75.9,13.7,39.1,85,12.3,44.4,3.4,18.3
28049011101,2015,17.6,22.4,11.7,40.9,77.9,4.9,9.4,4.6,80.1,75.7,NA,4.9,NA,NA,20.3,NA,11.8,31.8,2.5,33.8,NA,13.3,38.1,NA,12.2,NA,3.1,NA
28049011101,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.4,NA,34.5,29,NA,59.2,NA,NA,NA,NA,79.1,NA,NA,88.8,NA,40.8,NA,17.5
28049011101,2017,19,21.5,13.6,39.4,76.7,4.9,10.8,4.8,73.4,83,NA,5.5,NA,NA,20.6,NA,11.8,32,2.9,31.4,NA,14.3,37,NA,12.9,NA,3.3,NA
28049011102,2013,NA,NA,NA,40.3,80.5,NA,NA,NA,NA,75.9,NA,NA,NA,NA,NA,NA,NA,38.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049011102,2014,15.2,25.2,13.5,NA,NA,5.7,8.4,5.3,78.5,NA,66.1,4.9,40.5,37.5,17.9,62.8,11,NA,2.8,24.4,77,11.1,35.2,87.4,10.3,40.5,3.1,13.5
28049011102,2015,15.6,23.7,11.8,40.9,79.3,5.7,8.8,5.2,79.9,78.2,NA,5,NA,NA,18.2,NA,11.6,33.3,2.6,32.1,NA,12.3,35.9,NA,11.9,NA,3.2,NA
28049011102,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.8,NA,37.5,30.4,NA,62.7,NA,NA,NA,NA,78,NA,NA,89,NA,38.3,NA,16.2
28049011102,2017,16.1,22.1,14.2,38.1,77.7,5.8,10,5,73.2,84.8,NA,5.2,NA,NA,17.6,NA,10.9,33,2.8,28,NA,12.5,33.5,NA,11.8,NA,3.1,NA
28049011103,2013,NA,NA,NA,35.1,76.5,NA,NA,NA,NA,71.5,NA,NA,NA,NA,NA,NA,NA,36.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049011103,2014,17,21.7,15.1,NA,NA,4.9,8.5,4.4,76.5,NA,65.8,4.5,40.7,38.8,19.2,62,9,NA,2.5,23.9,75.2,11.6,33.2,87.4,9.4,40.1,2.5,13.6
28049011103,2015,16,19.8,13.9,34.3,74.7,5,8.8,3.9,78.3,74.8,NA,4.1,NA,NA,18.2,NA,8.7,29.8,2,30.3,NA,12.2,33.1,NA,10.1,NA,2.3,NA
28049011103,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.9,NA,40.1,34.3,NA,65.7,NA,NA,NA,NA,75.5,NA,NA,88,NA,37.4,NA,13.6
28049011103,2017,18.2,19.5,15.5,33.5,73.4,5,10.4,4.3,70.7,81.6,NA,5,NA,NA,19,NA,9.3,30.3,2.5,28.2,NA,13.7,32.5,NA,11.4,NA,2.6,NA
28049011400,2013,NA,NA,NA,52.8,84,NA,NA,NA,NA,71.6,NA,NA,NA,NA,NA,NA,NA,43.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049011400,2014,35.2,34.3,9.1,NA,NA,5.1,11.9,9.3,77.7,NA,46.9,10.7,24.9,20.2,31.6,33.5,22.2,NA,4.3,43.9,70.2,19.3,49.8,74.4,21.8,50,7.4,38.5
28049011400,2015,34.3,32.8,7.9,56.9,82.9,5.3,11.8,10.3,80,67.9,NA,11.2,NA,NA,32.9,NA,24.3,41.5,4.9,50,NA,20.2,49.5,NA,24.4,NA,8.5,NA
28049011400,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.3,NA,20.9,16.7,NA,36.5,NA,NA,NA,NA,79.2,NA,NA,87.3,NA,46.2,NA,41.8
28049011400,2017,29.5,29.6,9.7,53.8,82.5,5.4,12.9,9.7,75.2,79.7,NA,10.8,NA,NA,30.6,NA,22.4,39.6,5.3,45.8,NA,19.8,47.1,NA,22.3,NA,7.5,NA
28049011500,2013,NA,NA,NA,32,64,NA,NA,NA,NA,48.2,NA,NA,NA,NA,NA,NA,NA,29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28049011500,2014,33.3,16.1,13,NA,NA,2.5,11.7,3.9,74.3,NA,51.3,5.3,27.4,22.5,25.8,40.4,9.6,NA,2.5,32.6,72.1,17.4,37.1,72.3,12.3,45.9,3.2,32.8
28049011500,2015,27.6,14.9,11.5,32,64,2.6,11.5,3.9,77.4,51.1,NA,5,NA,NA,23.7,NA,9.7,25.5,2.5,36.2,NA,17.8,36.4,NA,12.8,NA,3.2,NA
28049011500,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,24.3,19.6,NA,48.1,NA,NA,NA,NA,80.9,NA,NA,85,NA,41.5,NA,31.1
28049011500,2017,23.5,13.6,13.9,30.7,62.5,2.7,12.5,3.8,71.1,68.4,NA,4.7,NA,NA,20.3,NA,9.3,22.5,2.8,33,NA,19.5,34.8,NA,11.9,NA,3,NA
28089030105,2013,NA,NA,NA,14,36.5,NA,NA,NA,NA,49.4,NA,NA,NA,NA,NA,NA,NA,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28089030105,2014,21.9,5.9,15.5,NA,NA,1,11.1,0.9,75.3,NA,56,2.1,31.5,NA,17.5,59.6,2.8,NA,1.1,19.9,76.7,13.5,23.7,76.5,5.8,38.6,0.8,23.9
28089030105,2015,21.5,5.7,14.2,17.3,40.5,0.9,11.8,0.8,77.8,46.1,NA,2.3,NA,NA,16.9,NA,2.8,12,1.1,27,NA,15.6,27.3,NA,6.9,NA,0.9,NA
28089030105,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1,NA,30,NA,NA,57.2,NA,NA,NA,NA,80.3,NA,NA,77.9,NA,37.5,NA,27.3
28089030105,2017,20.4,5.8,16.6,17.3,35.1,1,13.1,0.9,73.2,64.9,NA,2.2,NA,NA,14.4,NA,3,11.1,1.3,24.1,NA,18.2,30.7,NA,7.1,NA,0.9,NA
28121020207,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28121020207,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28121020207,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28121020207,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28121020207,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
